Sampleid	Species	Soil_type	Soil_Age	Fertilization	N__Area	C__Area	H__Area	S__Area	N__Factor	H__Factor	C__Factor	S__Factor	N_percent	C__percent	H_percent	S_percent	CN_ratio	CH_ratio	Prot_Factor	Prot_percent	pH	NNmeq_100g	O_M	Bray_IP_lb_Ac	Ca_lb_Ac	Mg_lb_Ac	K_lb_Ac	CEC_meq_100g	Sand_percent	Silt_percent	Clay_percent	Leaf_Litter	Moss	Wood_Litter
Blank01	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank02	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank03	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank04	NA	NA	NA	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CoEM_02	Control	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CoEM_03	Control	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CoEM_04	Control	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CoEM_05	Control	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CoEM_06	Control	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CoEM_07	Control	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CoTH_01	Control	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CoTH_02	Control	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CoTH_03	Control	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CoTH_04	Control	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CoTH_05	Control	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CoTH_06	Control	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CoTH_07	Control	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CpCC_01	CP	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CpCC_02	CP	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CpCC_03	CP	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CpCC_04	CP	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CpCC_05	CP	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CpCC_06	CP	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CpCC_07	CP	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CpDB_01	CP	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CpDB_02	CP	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CpDB_03	CP	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CpDB_04	CP	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CpDB_05	CP	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CpDB_06	CP	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CpDB_07	CP	DanaBrown	Middle	Fertile	5128	40484.25	39483.5	253.75	0.9824	1.0727	0.9923	0.9996	0.185	2.0625	0.653	0.02575	10.9918	3.08285	6.25	1.1635	5.225	3.875	3.15	30	1142.5	409.75	210.5	8.725	11.875	80.625	7.5	49.5	0.066666667	3.4
CpEM_01	CP	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CpEM_02	CP	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CpEM_03	CP	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CpEM_04	CP	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CpEM_05	CP	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CpEM_06	CP	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CpEM_07	CP	EastMorton	Young	Fertile	3409.25	27446	31038.75	292.75	0.9824	1.0727	0.9923	0.9996	0.1625	1.825	0.66175	0.041	11.22855	2.77045	6.25	1.01725	5.2	4.125	2.875	16	1132.75	537.5	132.25	9.375	15	75.625	9.375	60.9375	0.875	7.625
CpTH_01	CP	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CpTH_02	CP	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CpTH_03	CP	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CpTH_04	CP	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CpTH_05	CP	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CpTH_06	CP	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
CpTH_07	CP	TrailHouse	Old	Fertile	8196	70816.2	64990.2	328.2	0.9824	1.0727	0.9923	0.9996	0.294	3.58	1.0734	0.0326	12.1063	3.36806	6.25	1.8314	5.525	3	2.975	20	1565	525.25	171.5	9.325	15.625	75	9.375	61.93333333	0.090909091	2.642857143
GvCC_01	GV	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GvCC_02	GV	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GvCC_03	GV	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GvCC_04	GV	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GvCC_05	GV	Control	Control	Sterile	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
