Unit,plot,Plot,Block,Species,Number,potID,uniqID,greenhouseSoil,seedID,quadrat,Quadrat,Soil,Soil2,Competition,Position,Year,Survival,Height,Rosette,nLeaf,nStem,leafDamage,leafLength,leafWidth,Area_week12
EAMO,1,EAMO#1,G,Gv,5,G-Gv-5,EAMO-G-Gv-5,EAMO,752,BL-HS-CP,BL,Home,Young,Present,C5,2020,1,76.3,0,21,2,2,18.3,9.4,172.02
EAMO,1,EAMO#1,B,Gv,2,B-Gv-2,EAMO-B-Gv-2,EAMO,765,BR-HS-CA,BR,Home,Young,Absent,B3,2020,1,16.5,0,10,1,1,23.2,13.5,313.2
EAMO,1,EAMO#1,H,Gv,1,H-Gv-1,EAMO-H-Gv-1,EAMO,768,BR-HS-CA,BR,Home,Young,Absent,C1,2020,1,28.1,0,17,4,2,26.5,13.7,363.05
EAMO,1,EAMO#1,,Gv,,-Gv-,EAMO--Gv-,EAMO,776,BR-HS-CA,BR,Home,Young,Absent,D5,2020,1,82.8,0,20,2,1,25.8,14.8,381.84
EAMO,2,EAMO#2,E,Gv,4-B,E-Gv-4-B,EAMO-E-Gv-4-B,EAMO,814,BL-HS-CA,BL,Home,Young,Absent,B1,2020,1,53.8,0,13,2,3,17.5,12.8,224
EAMO,2,EAMO#2,G,Gv,2-B,G-Gv-2-B,EAMO-G-Gv-2-B,EAMO,816,BL-HS-CA,BL,Home,Young,Absent,B3,2020,1,43.7,0,16,2,2,18.2,17,309.4
EAMO,2,EAMO#2,B,Gv,3-B,B-Gv-3-B,EAMO-B-Gv-3-B,EAMO,819,BL-HS-CA,BL,Home,Young,Absent,C1,2020,1,23.1,0,9,1,3,31,17.4,539.4
EAMO,2,EAMO#2,H,Gv,3-B,H-Gv-3-B,EAMO-H-Gv-3-B,EAMO,836,BR-HS-CP,BR,Home,Young,Present,B4,2020,1,72.8,0,8,1,3,25.6,11.8,302.08
EAMO,2,EAMO#2,A,Gv,1-B,A-Gv-1-B,EAMO-A-Gv-1-B,EAMO,844,BR-HS-CP,BR,Home,Young,Present,D3,2020,1,47.6,0,8,3,3,22.1,11.5,254.15
EAMO,3,EAMO#3,D,Gv,1,D-Gv-1,EAMO-D-Gv-1,EAMO,505,TL-HS-CA,TL,Home,Young,Absent,C4,2021,1,41,0,11,1,1,24.3,6.3,153.09
EAMO,3,EAMO#3,A,Gv,1,A-Gv-1,EAMO-A-Gv-1,EAMO,506,TL-HS-CA,TL,Home,Young,Absent,C5,2021,1,33.8,0,9,1,1,27.5,14.8,407
EAMO,3,EAMO#3,H,Gv,3,H-Gv-3,EAMO-H-Gv-3,EAMO,526,TR-HS-CP,TR,Home,Young,Present,D1,2021,1,25.7,0,7,1,1,27,11.6,313.2
EAMO,4,EAMO#4,G,Gv,2,G-Gv-2,EAMO-G-Gv-2,EAMO,619,TR-HS-CA,TR,Home,Young,Absent,A1,2021,1,24.2,0,19,1,2,20,9.8,196
EAMO,1,EAMO#1,G,Gv,5,G-Gv-5,EAMO-G-Gv-5,EAMO,752,BL-HS-CP,BL,Home,Young,Present,C5,2021,1,55,0,13,1,2,21.4,10.3,220.42
EAMO,1,EAMO#1,B,Gv,2,B-Gv-2,EAMO-B-Gv-2,EAMO,765,BR-HS-CA,BR,Home,Young,Absent,B3,2021,1,39.5,0,12,1,2,25.5,13.1,334.05
EAMO,1,EAMO#1,,Gv,,-Gv-,EAMO--Gv-,EAMO,776,BR-HS-CA,BR,Home,Young,Absent,D5,2021,1,16.8,0,7,1,2,25.2,11.3,284.76
TRHO,1,TRHO#1,A,Gv,1,A-Gv-1,TRHO-A-Gv-1,TRHO,40,BL-HS-CA,BL,Home,Old,Absent,A1,2020,1,65.4,0,24,2,3,16.5,16,264
TRHO,1,TRHO#1,A,Gv,1-B,A-Gv-1-B,TRHO-A-Gv-1-B,TRHO,44,BL-HS-CA,BL,Home,Old,Absent,A5,2020,1,54.5,0,23,2,1,17.6,10.5,184.8
